Date,Sensor,Temperature(C),Humidity(%)
2018-11-21 12:23, Otaniemi (SMT12), 0.60, 84.800
2018-11-21 13:23, Otaniemi (SMT12), 0.50, 84.500
2018-11-21 14:23, Otaniemi (SMT12), 0.70, 84.900
2018-11-21 15:23, Otaniemi (SMT12), 0.70, 83.600
2018-11-21 16:23, Otaniemi (SMT12), 0.00, 86.900
2018-11-21 17:23, Otaniemi (SMT12), -0.60, 89.00
2018-11-21 18:23, Otaniemi (SMT12), -1.20, 90.70
2018-11-21 19:23, Otaniemi (SMT12), -1.60, 91.80
2018-11-21 20:23, Otaniemi (SMT12), -1.80, 92.00
2018-11-21 21:23, Otaniemi (SMT12), -2.20, 92.50
2018-11-21 22:23, Otaniemi (SMT12), -2.40, 92.80
2018-11-21 23:23, Otaniemi (SMT12), -2.70, 92.00
2018-11-22 00:23, Otaniemi (SMT12), -2.80, 92.30
2018-11-22 01:23, Otaniemi (SMT12), -2.60, 90.90
2018-11-22 02:23, Otaniemi (SMT12), -2.60, 91.10
2018-11-22 03:23, Otaniemi (SMT12), -1.60, 91.10
2018-11-22 04:23, Otaniemi (SMT12), -0.80, 91.20
2018-11-22 05:23, Otaniemi (SMT12), 0.60, 90.900
2018-11-22 06:23, Otaniemi (SMT12), 0.90, 91.000
2018-11-22 07:23, Otaniemi (SMT12), 1.20, 90.000
2018-11-22 08:23, Otaniemi (SMT12), 1.40, 89.700
2018-11-22 09:23, Otaniemi (SMT12), 1.50, 88.200
2018-11-22 10:24, Otaniemi (SMT12), 1.70, 87.300
2018-11-22 11:24, Otaniemi (SMT12), 2.00, 85.300
2018-11-22 12:24, Otaniemi (SMT12), 2.30, 83.600
2018-11-22 13:24, Otaniemi (SMT12), 2.30, 82.900
2018-11-22 14:24, Otaniemi (SMT12), 2.30, 83.000
2018-11-22 15:24, Otaniemi (SMT12), 2.00, 84.100
2018-11-22 16:24, Otaniemi (SMT12), 1.70, 86.400
2018-11-22 17:24, Otaniemi (SMT12), 1.20, 87.900
2018-11-22 18:24, Otaniemi (SMT12), 0.40, 90.500
2018-11-22 19:24, Otaniemi (SMT12), -0.20, 92.00
2018-11-22 20:24, Otaniemi (SMT12), -0.50, 92.50
2018-11-22 21:24, Otaniemi (SMT12), -0.90, 93.50
2018-11-22 22:24, Otaniemi (SMT12), -0.90, 93.80
2018-11-22 23:24, Otaniemi (SMT12), -0.60, 93.80
2018-11-23 00:24, Otaniemi (SMT12), -0.30, 94.10
2018-11-23 01:24, Otaniemi (SMT12), -0.10, 93.70
2018-11-23 02:24, Otaniemi (SMT12), -0.10, 94.30
